symboling,normalized-losses,wheel-base,length,width,height,curb-weight,engine-size,bore,stroke,compression-ratio,horsepower,peak-rpm,city-mpg,highway-mpg,class
2.0,164.0,99.8,176.6,66.2,54.3,2337.0,109.0,3.19,3.4,10.0,102,5500.0,24,30,13950.0
2.0,164.0,99.4,176.6,66.4,54.3,2824.0,136.0,3.19,3.4,8.0,115,5500.0,18,22,17450.0
1.0,158.0,105.8,192.7,71.4,55.7,2844.0,136.0,3.19,3.4,8.5,110,5500.0,19,25,17710.0
1.0,158.0,105.8,192.7,71.4,55.9,3086.0,131.0,3.13,3.4,8.3,140,5500.0,17,20,23875.0
2.0,192.0,101.2,176.8,64.8,54.3,2395.0,108.0,3.5,2.8,8.8,101,5800.0,23,29,16430.0
0.0,192.0,101.2,176.8,64.8,54.3,2395.0,108.0,3.5,2.8,8.8,101,5800.0,23,29,16925.0
0.0,188.0,101.2,176.8,64.8,54.3,2710.0,164.0,3.31,3.19,9.0,121,4250.0,21,28,20970.0
0.0,188.0,101.2,176.8,64.8,54.3,2765.0,164.0,3.31,3.19,9.0,121,4250.0,21,28,21105.0
2.0,121.0,88.4,141.1,60.3,53.2,1488.0,61.0,2.91,3.03,9.5,48,5100.0,47,53,5151.0
1.0,98.0,94.5,155.9,63.6,52.0,1874.0,90.0,3.03,3.11,9.6,70,5400.0,38,43,6295.0
0.0,81.0,94.5,158.8,63.6,52.0,1909.0,90.0,3.03,3.11,9.6,70,5400.0,38,43,6575.0
1.0,118.0,93.7,157.3,63.8,50.8,1876.0,90.0,2.97,3.23,9.41,68,5500.0,37,41,5572.0
1.0,118.0,93.7,157.3,63.8,50.8,1876.0,90.0,2.97,3.23,9.4,68,5500.0,31,38,6377.0
1.0,118.0,93.7,157.3,63.8,50.8,2128.0,98.0,3.03,3.39,7.6,102,5500.0,24,30,7957.0
1.0,148.0,93.7,157.3,63.8,50.6,1967.0,90.0,2.97,3.23,9.4,68,5500.0,31,38,6229.0
1.0,148.0,93.7,157.3,63.8,50.6,1989.0,90.0,2.97,3.23,9.4,68,5500.0,31,38,6692.0
1.0,148.0,93.7,157.3,63.8,50.6,1989.0,90.0,2.97,3.23,9.4,68,5500.0,31,38,7609.0
-1.0,110.0,103.3,174.6,64.6,59.8,2535.0,122.0,3.34,3.46,8.5,88,5000.0,24,30,8921.0
3.0,145.0,95.9,173.2,66.3,50.2,2811.0,156.0,3.6,3.9,7.0,145,5000.0,19,24,12964.0
2.0,137.0,86.6,144.6,63.9,50.8,1713.0,92.0,2.91,3.41,9.6,58,4800.0,49,54,6479.0
2.0,137.0,86.6,144.6,63.9,50.8,1819.0,92.0,2.91,3.41,9.2,76,6000.0,31,38,6855.0
1.0,101.0,93.7,150.0,64.0,52.6,1837.0,79.0,2.91,3.07,10.1,60,5500.0,38,42,5399.0
1.0,101.0,93.7,150.0,64.0,52.6,1940.0,92.0,2.91,3.41,9.2,76,6000.0,30,34,6529.0
1.0,101.0,93.7,150.0,64.0,52.6,1956.0,92.0,2.91,3.41,9.2,76,6000.0,30,34,7129.0
0.0,110.0,96.5,163.4,64.0,54.5,2010.0,92.0,2.91,3.41,9.2,76,6000.0,30,34,7295.0
0.0,78.0,96.5,157.1,63.9,58.3,2024.0,92.0,2.92,3.41,9.2,76,6000.0,30,34,7295.0
0.0,106.0,96.5,167.5,65.2,53.3,2236.0,110.0,3.15,3.58,9.0,86,5800.0,27,33,7895.0
0.0,106.0,96.5,167.5,65.2,53.3,2289.0,110.0,3.15,3.58,9.0,86,5800.0,27,33,9095.0
0.0,85.0,96.5,175.4,65.2,54.1,2304.0,110.0,3.15,3.58,9.0,86,5800.0,27,33,8845.0
0.0,85.0,96.5,175.4,62.5,54.1,2372.0,110.0,3.15,3.58,9.0,86,5800.0,27,33,10295.0
0.0,85.0,96.5,175.4,65.2,54.1,2465.0,110.0,3.15,3.58,9.0,101,5800.0,24,28,12945.0
1.0,107.0,96.5,169.1,66.0,51.0,2293.0,110.0,3.15,3.58,9.1,100,5500.0,25,31,10345.0
0.0,145.0,113.0,199.6,69.6,52.8,4066.0,258.0,3.63,4.17,8.1,176,4750.0,15,19,32250.0
1.0,104.0,93.1,159.1,64.2,54.1,1890.0,91.0,3.03,3.15,9.0,68,5000.0,30,31,5195.0
1.0,104.0,93.1,159.1,64.2,54.1,1900.0,91.0,3.03,3.15,9.0,68,5000.0,31,38,6095.0
1.0,104.0,93.1,159.1,64.2,54.1,1905.0,91.0,3.03,3.15,9.0,68,5000.0,31,38,6795.0
1.0,113.0,93.1,166.8,64.2,54.1,1945.0,91.0,3.03,3.15,9.0,68,5000.0,31,38,6695.0
1.0,113.0,93.1,166.8,64.2,54.1,1950.0,91.0,3.08,3.15,9.0,68,5000.0,31,38,7395.0
1.0,129.0,98.8,177.8,66.5,53.7,2385.0,122.0,3.39,3.39,8.6,84,4800.0,26,32,8845.0
0.0,115.0,98.8,177.8,66.5,55.5,2410.0,122.0,3.39,3.39,8.6,84,4800.0,26,32,8495.0
1.0,129.0,98.8,177.8,66.5,53.7,2385.0,122.0,3.39,3.39,8.6,84,4800.0,26,32,10595.0
0.0,115.0,98.8,177.8,66.5,55.5,2410.0,122.0,3.39,3.39,8.6,84,4800.0,26,32,10245.0
0.0,115.0,98.8,177.8,66.5,55.5,2425.0,122.0,3.39,3.39,8.6,84,4800.0,26,32,11245.0
0.0,118.0,104.9,175.0,66.1,54.4,2670.0,140.0,3.76,3.16,8.0,120,5000.0,19,27,18280.0
-1.0,93.0,110.0,190.9,70.3,56.5,3515.0,183.0,3.58,3.64,21.5,123,4350.0,22,25,25552.0
-1.0,93.0,110.0,190.9,70.3,58.7,3750.0,183.0,3.58,3.64,21.5,123,4350.0,22,25,28248.0
0.0,93.0,106.7,187.5,70.3,54.9,3495.0,183.0,3.58,3.64,21.5,123,4350.0,22,25,28176.0
-1.0,93.0,115.6,202.6,71.7,56.3,3770.0,183.0,3.58,3.64,21.5,123,4350.0,22,25,31600.0
3.0,142.0,96.6,180.3,70.5,50.8,3685.0,234.0,3.46,3.1,8.3,155,4750.0,16,18,35056.0
2.0,161.0,93.7,157.3,64.4,50.8,1918.0,92.0,2.97,3.23,9.4,68,5500.0,37,41,5389.0
2.0,161.0,93.7,157.3,64.4,50.8,1944.0,92.0,2.97,3.23,9.4,68,5500.0,31,38,6189.0
2.0,161.0,93.7,157.3,64.4,50.8,2004.0,92.0,2.97,3.23,9.4,68,5500.0,31,38,6669.0
1.0,161.0,93.0,157.3,63.8,50.8,2145.0,98.0,3.03,3.39,7.6,102,5500.0,24,30,7689.0
3.0,153.0,96.3,173.0,65.4,49.4,2370.0,110.0,3.17,3.46,7.5,116,5500.0,23,30,9959.0
3.0,153.0,96.3,173.0,65.4,49.4,2328.0,122.0,3.35,3.46,8.5,88,5000.0,25,32,8499.0
1.0,125.0,96.3,172.4,65.4,51.6,2365.0,122.0,3.35,3.46,8.5,88,5000.0,25,32,6989.0
1.0,125.0,96.3,172.4,65.4,51.6,2405.0,122.0,3.35,3.46,8.5,88,5000.0,25,32,8189.0
1.0,125.0,96.3,172.4,65.4,51.6,2403.0,110.0,3.17,3.46,7.5,116,5500.0,23,30,9279.0
-1.0,137.0,96.3,172.4,65.4,51.6,2403.0,110.0,3.17,3.46,7.5,116,5500.0,23,30,9279.0
1.0,128.0,94.5,165.3,63.8,54.5,1889.0,97.0,3.15,3.29,9.4,69,5200.0,31,37,5499.0
1.0,128.0,94.5,165.3,63.8,54.5,2017.0,103.0,2.99,3.47,21.9,55,4800.0,45,50,7099.0
1.0,128.0,94.5,165.3,63.8,54.5,1918.0,97.0,3.15,3.29,9.4,69,5200.0,31,37,6649.0
1.0,122.0,94.5,165.3,63.8,54.5,1938.0,97.0,3.15,3.29,9.4,69,5200.0,31,37,6849.0
1.0,103.0,94.5,170.2,63.8,53.5,2024.0,97.0,3.15,3.29,9.4,69,5200.0,31,37,7349.0
1.0,128.0,94.5,165.3,63.8,54.5,1951.0,97.0,3.15,3.29,9.4,69,5200.0,31,37,7299.0
1.0,128.0,94.5,165.6,63.8,53.3,2028.0,97.0,3.15,3.29,9.4,69,5200.0,31,37,7799.0
1.0,122.0,94.5,165.3,63.8,54.5,1971.0,97.0,3.15,3.29,9.4,69,5200.0,31,37,7499.0
1.0,103.0,94.5,170.2,63.8,53.5,2037.0,97.0,3.15,3.29,9.4,69,5200.0,31,37,7999.0
2.0,168.0,95.1,162.4,63.8,53.3,2008.0,97.0,3.15,3.29,9.4,69,5200.0,31,37,8249.0
0.0,106.0,97.2,173.4,65.2,54.7,2324.0,120.0,3.33,3.47,8.5,97,5200.0,27,34,8949.0
0.0,106.0,97.2,173.4,65.2,54.7,2302.0,120.0,3.33,3.47,8.5,97,5200.0,27,34,9549.0
0.0,128.0,100.4,181.7,66.5,55.1,3095.0,181.0,3.43,3.27,9.0,152,5200.0,17,22,13499.0
0.0,108.0,100.4,184.6,66.5,56.1,3296.0,181.0,3.43,3.27,9.0,152,5200.0,17,22,14399.0
0.0,108.0,100.4,184.6,66.5,55.1,3060.0,181.0,3.43,3.27,9.0,152,5200.0,19,25,13499.0
3.0,194.0,91.3,170.7,67.9,49.7,3071.0,181.0,3.43,3.27,9.0,160,5200.0,19,25,17199.0
3.0,194.0,91.3,170.7,67.9,49.7,3139.0,181.0,3.43,3.27,7.8,200,5200.0,17,23,19699.0
1.0,231.0,99.2,178.5,67.9,49.7,3139.0,181.0,3.43,3.27,9.0,160,5200.0,19,25,18399.0
0.0,161.0,107.9,186.7,68.4,56.7,3020.0,120.0,3.46,3.19,8.4,97,5000.0,19,24,11900.0
0.0,161.0,107.9,186.7,68.4,56.7,3197.0,152.0,3.7,3.52,21.0,95,4150.0,28,33,13200.0
0.0,161.0,107.9,186.7,68.4,56.7,3075.0,120.0,3.46,2.19,8.4,95,5000.0,19,24,15580.0
0.0,161.0,107.9,186.7,68.4,56.7,3252.0,152.0,3.7,3.52,21.0,95,4150.0,28,33,16900.0
0.0,161.0,107.9,186.7,68.4,56.7,3075.0,120.0,3.46,3.19,8.4,97,5000.0,19,24,16630.0
0.0,161.0,107.9,186.7,68.4,56.7,3252.0,152.0,3.7,3.52,21.0,95,4150.0,28,33,17950.0
0.0,161.0,108.0,186.7,68.3,56.0,3130.0,134.0,3.61,3.21,7.0,142,5600.0,18,24,18150.0
1.0,119.0,93.7,157.3,63.8,50.8,1918.0,90.0,2.97,3.23,9.4,68,5500.0,37,41,5572.0
1.0,119.0,93.7,157.3,63.8,50.8,2128.0,98.0,3.03,3.39,7.6,102,5500.0,24,30,7957.0
1.0,154.0,93.7,157.3,63.8,50.6,1967.0,90.0,2.97,3.23,9.4,68,5500.0,31,38,6229.0
1.0,154.0,93.7,167.3,63.8,50.8,1989.0,90.0,2.97,3.23,9.4,68,5500.0,31,38,6692.0
1.0,154.0,93.7,167.3,63.8,50.8,2191.0,98.0,2.97,3.23,9.4,68,5500.0,31,38,7609.0
-1.0,74.0,103.3,174.6,64.6,59.8,2535.0,122.0,3.35,3.46,8.5,88,5000.0,24,30,8921.0
3.0,186.0,94.5,168.9,68.3,50.2,2778.0,151.0,3.94,3.11,9.5,143,5500.0,19,27,22018.0
3.0,150.0,99.1,186.6,66.5,56.1,2658.0,121.0,3.54,3.07,9.31,110,5250.0,21,28,11850.0
2.0,104.0,99.1,186.6,66.5,56.1,2695.0,121.0,3.54,3.07,9.3,110,5250.0,21,28,12170.0
3.0,150.0,99.1,186.6,66.5,56.1,2707.0,121.0,2.54,2.07,9.3,110,5250.0,21,28,15040.0
2.0,104.0,99.1,186.6,66.5,56.1,2758.0,121.0,3.54,3.07,9.3,110,5250.0,21,28,15510.0
3.0,150.0,99.1,186.6,66.5,56.1,2808.0,121.0,3.54,3.07,9.0,160,5500.0,19,26,18150.0
2.0,104.0,99.1,186.6,66.5,56.1,2847.0,121.0,3.54,3.07,9.0,160,5500.0,19,26,18620.0
2.0,83.0,93.7,156.9,63.4,53.7,2050.0,97.0,3.62,2.36,9.0,69,4900.0,31,36,5118.0
2.0,83.0,93.7,157.9,63.6,53.7,2120.0,108.0,3.62,2.64,8.7,73,4400.0,26,31,7053.0
2.0,83.0,93.3,157.3,63.8,55.7,2240.0,108.0,3.62,2.64,8.7,73,4400.0,26,31,7603.0
0.0,102.0,97.2,172.0,65.4,52.5,2145.0,108.0,3.62,2.64,9.5,82,4800.0,32,37,7126.0
0.0,102.0,97.2,172.0,65.4,52.5,2190.0,108.0,3.62,2.64,9.5,82,4400.0,28,33,7775.0
0.0,102.0,97.2,172.0,65.4,52.5,2340.0,108.0,3.62,2.64,9.0,94,5200.0,26,32,9960.0
0.0,102.0,97.0,172.0,65.4,54.3,2385.0,108.0,3.62,2.64,9.0,82,4800.0,24,25,9233.0
0.0,102.0,97.0,172.0,65.4,54.3,2510.0,108.0,3.62,2.64,7.7,111,4800.0,24,29,11259.0
0.0,89.0,97.0,173.5,65.4,53.0,2290.0,108.0,3.62,2.64,9.0,82,4800.0,28,32,7463.0
0.0,89.0,97.0,173.5,65.4,53.0,2455.0,108.0,3.62,2.64,9.0,94,5200.0,25,31,10198.0
0.0,85.0,96.9,173.6,65.4,54.9,2420.0,108.0,3.62,2.64,9.0,82,4800.0,23,29,8013.0
0.0,85.0,96.9,173.6,65.4,54.9,2650.0,108.0,3.62,2.64,7.7,111,4800.0,23,23,11694.0
1.0,87.0,95.7,158.7,63.6,54.5,1985.0,92.0,3.05,3.03,9.0,62,4800.0,35,39,5348.0
1.0,87.0,95.7,158.7,63.6,54.5,2040.0,92.0,3.05,3.03,9.0,62,4800.0,31,38,6338.0
1.0,74.0,95.7,158.7,63.6,54.5,2015.0,92.0,3.05,3.03,9.0,62,4800.0,31,38,6488.0
0.0,77.0,95.7,169.7,63.6,59.1,2280.0,92.0,3.05,3.03,9.0,62,4800.0,31,37,6918.0
0.0,81.0,95.7,169.7,63.6,59.1,2290.0,92.0,3.05,3.03,9.0,62,4800.0,27,32,7898.0
0.0,91.0,95.7,169.7,63.6,59.1,3110.0,92.0,3.05,3.03,9.0,62,4800.0,27,32,8778.0
0.0,91.0,95.7,166.3,64.4,53.0,2081.0,98.0,3.19,3.03,9.0,70,4800.0,30,37,6938.0
0.0,91.0,95.7,166.3,64.4,52.8,2109.0,98.0,3.19,3.03,9.0,70,4800.0,30,37,7198.0
0.0,91.0,95.7,166.3,64.4,53.0,2275.0,110.0,3.27,3.35,22.5,56,4500.0,34,36,7898.0
0.0,91.0,95.7,166.3,64.4,52.8,2275.0,110.0,3.27,3.35,22.5,56,4500.0,38,47,7788.0
0.0,91.0,95.7,166.3,64.4,53.0,2094.0,98.0,3.19,3.03,9.0,70,4800.0,38,47,7738.0
0.0,91.0,95.7,166.3,64.4,52.8,2122.0,98.0,3.19,3.03,9.0,70,4800.0,28,34,8358.0
0.0,91.0,95.7,166.3,64.4,52.8,2140.0,98.0,3.19,3.03,9.0,70,4800.0,28,34,9258.0
1.0,168.0,94.5,168.7,64.0,52.6,2169.0,98.0,3.19,3.03,9.0,70,4800.0,29,34,8058.0
1.0,168.0,94.5,168.7,64.0,52.6,2204.0,98.0,3.19,3.03,9.0,70,4800.0,29,34,8238.0
1.0,168.0,94.5,168.7,64.0,52.6,2265.0,98.0,3.24,3.08,9.4,112,6600.0,26,29,9298.0
1.0,168.0,94.5,168.7,64.0,52.6,2300.0,98.0,3.24,3.08,9.4,112,6600.0,26,29,9538.0
2.0,134.0,98.4,176.2,65.6,52.0,2540.0,146.0,3.62,3.5,9.3,116,4800.0,24,30,8449.0
2.0,134.0,98.4,176.2,65.6,52.0,2536.0,146.0,3.62,3.5,9.3,116,4800.0,24,30,9639.0
2.0,134.0,98.4,176.2,65.6,52.0,2551.0,146.0,3.62,3.5,9.3,116,4800.0,24,30,9989.0
2.0,134.0,98.4,176.2,65.6,52.0,2679.0,146.0,3.62,3.5,9.3,116,4800.0,24,30,11199.0
2.0,134.0,98.4,176.2,65.6,52.0,2714.0,146.0,3.62,3.5,9.3,116,4800.0,24,30,11549.0
2.0,134.0,98.4,176.2,65.6,53.0,2975.0,146.0,3.62,3.5,9.3,116,4800.0,24,30,17669.0
-1.0,65.0,102.4,175.6,66.5,54.9,2326.0,122.0,3.31,3.54,8.7,92,4200.0,29,34,8948.0
-1.0,65.0,102.4,175.6,66.5,54.9,2480.0,110.0,3.27,3.35,22.5,73,4500.0,30,33,10698.0
-1.0,65.0,102.4,175.6,66.5,53.9,2414.0,122.0,3.31,3.54,8.7,92,4200.0,27,32,9988.0
-1.0,65.0,102.4,175.6,66.5,54.9,2414.0,122.0,3.31,3.54,8.7,92,4200.0,27,32,10898.0
-1.0,65.0,102.4,175.6,66.5,53.9,2458.0,122.0,3.31,3.54,8.7,92,4200.0,27,32,11248.0
3.0,197.0,102.9,183.5,67.7,52.0,2976.0,171.0,3.27,3.35,9.3,161,5200.0,20,24,16558.0
3.0,197.0,102.9,183.5,67.7,52.0,3016.0,171.0,3.27,3.35,9.3,161,5200.0,19,24,15998.0
-1.0,90.0,104.5,187.8,66.5,54.1,3131.0,171.0,3.27,3.35,9.2,156,5200.0,20,24,15690.0
2.0,122.0,97.3,171.7,65.5,55.7,2261.0,97.0,3.01,3.4,23.0,52,4800.0,37,46,7775.0
2.0,122.0,97.3,171.7,65.5,55.7,2209.0,109.0,3.19,3.4,9.0,85,5250.0,27,34,7975.0
2.0,94.0,97.3,171.7,65.5,55.7,2264.0,97.0,3.01,3.4,23.0,52,4800.0,37,46,7995.0
2.0,94.0,97.3,171.7,65.5,55.7,2212.0,109.0,3.19,3.4,9.0,85,5250.0,27,34,8195.0
2.0,94.0,97.3,171.7,65.5,55.7,2275.0,109.0,3.19,3.4,9.0,85,5250.0,27,34,8495.0
2.0,94.0,97.3,171.7,65.5,55.7,2319.0,97.0,3.01,3.4,23.0,68,4500.0,37,42,9495.0
2.0,94.0,97.3,171.7,65.5,55.7,2300.0,109.0,3.19,3.4,10.0,100,5500.0,26,32,9995.0
3.0,256.0,94.5,165.7,64.0,51.4,2221.0,109.0,3.19,3.4,8.5,90,5500.0,24,29,9980.0
-2.0,103.0,104.3,188.8,67.2,56.2,2912.0,141.0,3.78,3.15,9.5,114,5400.0,23,28,12940.0
-1.0,74.0,104.3,188.8,67.2,57.5,3034.0,141.0,3.78,3.15,9.5,114,5400.0,23,28,13415.0
-2.0,103.0,104.3,188.8,67.2,56.2,2935.0,141.0,3.78,3.15,9.5,114,5400.0,24,28,15985.0
-1.0,74.0,104.3,188.8,67.2,57.5,3042.0,141.0,3.78,3.15,9.5,114,5400.0,24,28,16515.0
-2.0,103.0,104.3,188.8,67.2,56.2,3045.0,130.0,3.62,3.15,7.5,162,5100.0,17,22,18420.0
-1.0,74.0,104.3,188.8,67.2,57.5,3157.0,130.0,3.62,3.15,7.5,162,5100.0,17,22,18950.0
-1.0,95.0,109.1,188.8,68.9,55.5,2952.0,141.0,3.78,3.15,9.5,114,5400.0,23,28,16845.0
-1.0,95.0,109.1,188.8,68.8,55.5,3049.0,141.0,3.78,3.15,8.7,160,5300.0,19,25,19045.0
-1.0,95.0,109.1,188.8,68.9,55.5,3012.0,173.0,3.58,2.87,8.8,134,5500.0,18,23,21485.0
-1.0,95.0,109.1,188.8,68.9,55.5,3217.0,145.0,3.01,3.4,23.0,106,4800.0,26,27,22470.0
-1.0,95.0,109.1,188.8,68.9,55.5,3062.0,141.0,3.78,3.15,9.5,114,5400.0,19,25,22625.0
